CID,FIELD,zHD,kappa_ext,hr,dmu_pred
1260954,E2,0.69873,0.09637544581366,-0.0528684070725864,-0.22005988254571918
1316989,X1,0.55343,0.0861459912608396,-0.291440672816987,-0.19561589366758533
1255169,C3,1.0468,0.076992281691791,-0.190454610575016,-0.17397333666540304
1339232,C3,0.96859,0.0696328906180797,-0.2602983859685407,-0.15672825658734202
1337703,C1,0.53225,0.0637890140520495,-0.3386469924089804,-0.14313133479646245
1537077,C3,0.7445,0.0623865604534019,-0.202260027659902,-0.1398808809948145
1915087,E2,0.56104,0.0621398215457063,-0.0163052843857064,-0.13930951946952963
1310916,C2,0.67923,0.0619797280618738,-0.278966515641847,-0.13893887902295227
1880486,S2,0.63407,0.0600841712546708,0.2880626187267821,-0.13455518278969558
1701088,C2,0.72403,0.0579820913222784,-0.028545557719559,-0.1297042038382567
